amount,consumer_id,http_code,left_in_stock,merchant_id,offer_id,price,product_id,quality,timestamp,uid
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,2,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,14.38,1,2,2017-09-05T15:40:34.172Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,2,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,30.01,1,2,2017-09-05T15:40:35.086Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,6,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,42.46,1,1,2017-09-05T15:40:36.435Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4753,18.04,1,3,2017-09-05T15:40:44.232Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4753,11.87,1,3,2017-09-05T15:40:51.599Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,2,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,32.2,1,2,2017-09-05T15:41:05.406Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4754,13.09,1,4,2017-09-05T15:41:07.866Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,2,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,26.74,1,2,2017-09-05T15:41:09.556Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4755,19.88,1,3,2017-09-05T15:41:13.262Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,24.07,1,2,2017-09-05T15:41:23.786Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4756,8.32,1,4,2017-09-05T15:41:24.129Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,20.26,1,2,2017-09-05T15:41:36.752Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4757,17.97,1,3,2017-09-05T15:41:37.226Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4758,8.38,1,4,2017-09-05T15:41:38.926Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4759,17.2,1,3,2017-09-05T15:41:48.332Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,6,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,34.77,1,1,2017-09-05T15:41:49.269Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4760,8.21,1,4,2017-09-05T15:41:58.571Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4761,20.47,1,3,2017-09-05T15:42:12.022Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4762,18.99,1,3,2017-09-05T15:42:18.323Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,6,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,20.75,1,1,2017-09-05T15:42:22.900Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4763,9.3,1,4,2017-09-05T15:42:24.106Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4738,30.37,1,2,2017-09-05T15:42:40.175Z,12
